id,downloads_bucket,files,tools,writes,guards,retries,candidates,patterns
6f6d5c9c2d21,1k-10k,438,348,106,31,0,168,B_method_blind_retry
70aceaa53e12,1k-10k,1,1,1,0,0,0,
70da33e2107b,1-1k,14,11,1,5,0,2,
70ebcf9cc4c5,1-1k,136,20,50,209,21,10,
718a0a450fcc,1-1k,26,4,15,37,1,2,
71a7b0191d57,1-1k,21,42,24,3,2,1,
71ee0357ad87,1-1k,15,7,0,0,0,3,
720d3db9034a,1k-10k,18,6,4,0,0,0,
7221e9134558,1-1k,692,53,200,114,56,21,
7230be63e738,1-1k,1,9,3,9,0,3,
7238df7567ca,1-1k,6,2,0,0,0,0,
72b9baf271b4,1k-10k,187,62,328,16,14,20,
72ef60158fc8,1k-10k,27,15,5,0,0,6,
7417c4c4eaae,1-1k,93,44,181,18,14,18,
7474a1bc3e50,1-1k,33,6,7,6,0,1,
7536a7849ac6,1k-10k,7,17,2,2,0,5,
7554237a1e36,1k-10k,3,15,0,3,0,7,B_method_blind_retry
7582c4632fe7,1-1k,45,20,8,2,0,4,
75ac3f21a197,1-1k,52,10,8,0,3,0,
7703271a3403,1-1k,72,35,61,49,6,2,
772d4d0157dd,1-1k,479,21,4973,13,0,17,
77ba2a6f1fe6,1-1k,76,39,14,35,2,20,
77d1da90d5c1,1-1k,15,2,5,8,0,0,
7894698b02da,1-1k,11,6,0,0,0,1,
798d5093f5fd,1-1k,5,6,0,0,1,0,
79bc43c27e00,1-1k,64,130,49,11,0,21,
79c867a63f0c,1k-10k,16,5,2,0,1,2,
7a41220e60ac,1-1k,171,59,25,46,1,5,
7a420750102e,1-1k,1842,73,1934,1677,350,25,
7a63b10831ac,1-1k,27,0,7,0,4,0,
7b061555c391,1k-10k,40,47,2,3,0,12,
7b2f50428b3c,1-1k,46,10,8,30,2,3,
7bc84800460f,1k-10k,20,31,0,1,0,3,
7bc880db9b9a,1k-10k,6,17,5,3,0,8,A_fresh_randomness|B_method_blind_retry
7c06643f98d2,1-1k,9,8,5,0,0,1,
7c311e952db6,1-1k,9,4,0,0,0,2,
7c8c169bc930,1k-10k,85,57,11,0,0,16,
7ca3f8c316fd,1-1k,24,40,4,44,0,9,
7ce97ef8b3f6,1k-10k,16,42,50,2,6,10,
7cfc4c500b16,1-1k,8,5,2,0,0,1,
7d1d621a7038,1-1k,47,9,8,31,6,3,
7d4ce8c0163c,1-1k,31,11,0,9,0,2,
7d4d5c997fff,1k-10k,64,22,15,0,0,2,A_fresh_randomness|B_method_blind_retry
7d66671791a6,1k-10k,32,10,1,3,0,2,
7da8722ec2e4,10k-100k,26,6,8,0,0,1,A_fresh_randomness
7df17728db08,1k-10k,0,0,0,0,0,0,
7e42092f92e1,1k-10k,58,24,34,65,3,12,
7fac171fcf13,1-1k,3075,1107,3403,1220,163,172,
7fae8f7de602,1-1k,15,21,5,0,0,4,
7fce13a19ab8,1-1k,32,28,6,0,0,5,
804e50c2ed97,1-1k,1,5,1,0,0,5,
80544cb5d9b3,10k-100k,47,18,13,8,0,14,B_method_blind_retry
816bed9c3fef,1-1k,19,16,7,0,0,0,
8174ff2d1caa,1-1k,7,5,2,0,0,0,
81e3fcdc6805,1-1k,3,10,0,0,3,6,
82151e39fceb,1k-10k,66,168,12,36,1,96,
827f3113d8e0,10k-100k,12,2,2,2,0,1,C_control_unreachable
82cf0cff5fd4,1-1k,27,9,1,7,0,2,
834385161479,1k-10k,1097,82,1716,397,12,21,
83cb362fc05c,1-1k,28,87,26,33,4,39,
844c755ac2cd,10k-100k,132,142,13,9,6,1,B_method_blind_retry
844f1d2dc934,1k-10k,63,12,4,2,0,0,
84bd78a3907c,1-1k,7,4,0,0,0,1,
84fbc3acb4ea,1k-10k,6,2,0,0,0,0,
85d252984c20,1-1k,20,14,0,0,0,2,
86c6354266a4,1k-10k,65,73,4,0,0,26,
87a3f59d0479,1-1k,13,0,3,0,1,0,
87cfd8a68608,1k-10k,137,50,44,69,28,8,
880a0ec65565,1-1k,65,34,85,79,4,20,
880af4848f42,1-1k,71,38,10,0,2,8,
887084f6b803,1-1k,227,5,135,49,15,1,
890d136d5c7c,1-1k,141,156,108,13,86,23,
892a8e43392b,1-1k,26,30,0,1,1,0,
897f1aacabdd,1-1k,18,1,0,3,0,0,
8980b82c2da4,1-1k,6,2,0,0,0,0,
89f4de233185,1-1k,1,6,1,0,0,1,
8a29455907c3,1-1k,104,43,51,16,3,18,
8a8151fd961e,1-1k,3,3,4,0,0,0,
8a9d0a44b447,1-1k,8,13,37,0,0,9,
8ab0da582873,1-1k,2,5,1,2,0,1,
8b258980e325,1k-10k,48,36,18,6,1,20,
8bd71dec493d,1-1k,178,63,51,33,0,2,
8bd7848045cc,1k-10k,17,7,24,7,0,0,
8c1bc6597e02,1-1k,23,49,12,2,0,12,
8c4577e997c3,1k-10k,240,41,18,80,4,13,B_method_blind_retry
8c6982fd0280,1-1k,4,0,0,0,0,0,
8c71775d3ea2,1-1k,73,0,61,11,2,0,
8d96b5f75b03,1k-10k,64,103,27,14,2,23,
8e270311b3cc,1-1k,17,20,2,0,0,2,
8e511ab2ec6b,1k-10k,90,13,14,1,2,1,
8e8d1461735a,1-1k,15,23,2,0,0,4,
8ec3935f7521,1-1k,27,61,13,61,1,23,
8f1226255191,1k-10k,173,24,266,28,2,3,
8fc3aa6f066e,1-1k,187,54,128,115,18,2,
8fd4064f1f0c,1k-10k,47,38,2,3,0,7,
9027cdbf9efc,1-1k,600,64,378,218,45,17,
90b82f094031,1-1k,9,6,11,0,0,0,
91f64bc8a4c5,1-1k,604,163,133,3,24,42,
9309679ef662,10k-100k,100,48,159,148,48,12,
934b5fae4327,1-1k,42,21,27,5,16,6,
935d9be215ec,1-1k,4,25,6,0,0,0,
951975edff14,1-1k,5,1,0,0,0,0,
952a35c4a465,1-1k,6,2,0,0,0,0,
95bcf9e4507e,1-1k,51,3,29,29,0,0,
9655b3d4a36f,1-1k,36,13,1,11,0,2,
9688ed86d693,1-1k,3,10,0,0,0,1,
968d49723d0a,1k-10k,223,152,52,81,3,26,
96914141b77a,1-1k,14,68,35,0,0,26,
96acac2b7777,1k-10k,36,11,1,6,4,2,
96b60f9ceb79,1k-10k,22,10,9,39,0,3,
96eca3aa0909,1-1k,292,78,102,6,25,17,
972b6d036146,1-1k,1,0,0,0,0,0,
976112cda353,1-1k,9,27,40,0,0,21,
9798b8bb4de0,1-1k,21,42,7,0,0,10,
98656a7b855c,1-1k,22,8,5,3,0,0,
995dbe74d953,1k-10k,9,2,1,2,0,1,B_method_blind_retry|C_control_unreachable
9a6834cf9bcd,1-1k,5,45,6,0,0,23,
9b05cff6de90,1k-10k,4,2,11,8,0,0,A_fresh_randomness
9b2d4a6b4f05,1-1k,27,9,8,0,1,5,
9be324bb4509,1k-10k,3,49,10,2,0,11,C_control_unreachable
9bea3be35347,1k-10k,0,0,0,0,0,0,B_method_blind_retry
9cd473bb38ca,1-1k,24,12,0,0,4,3,
9ceea1e5329e,1-1k,1,6,0,0,0,0,
9d1ebb39f964,1k-10k,152,233,82,12,14,21,
9d757286614f,1-1k,5,9,9,0,0,3,
9e3b48c05dc8,1-1k,316,79,67,744,4,23,
9e3d46f2356e,1k-10k,3,2,2,0,0,0,
9ee386edc9ae,1-1k,1,3,0,0,0,0,
9efdb09a31e3,1k-10k,34,13,1,10,0,2,
9f9af6a0238d,1-1k,12,49,5,44,0,12,
a051640c262b,1-1k,28,71,24,59,0,25,
a0756e3c16ae,1-1k,47,11,3,7,0,4,
a07e8ba3cb3b,10k-100k,69,9,6,10,0,1,B_method_blind_retry
a102a1e876ec,1k-10k,19,148,19,199,3,65,
a19e95ffaf4a,1-1k,13,3,2,0,0,0,
a269ba4c9e05,1k-10k,1867,125,805,565,143,23,
a2733f0462cd,1-1k,33,18,1,12,0,2,
a2a829571ebd,1-1k,1,0,0,0,0,0,
a342e2abdd30,1k-10k,28,5,74,16,2,3,
a3536a224771,1-1k,5,6,0,0,0,1,
a3bfaa2e21b6,1-1k,109,25,23,23,11,1,
a3eda57ec510,1-1k,114,43,96,0,0,6,
a4228b1f0b4b,1k-10k,22,7,3,10,0,2,B_method_blind_retry
a426327d8513,1-1k,74,46,20,57,2,18,
a43f75a4978b,1-1k,1,6,0,0,0,0,
a4909ac03ac1,1-1k,79,0,250,16,0,0,
a53a10a1be83,1-1k,34,66,7,0,0,31,
a683c8925c44,1k-10k,13,3,1,0,0,0,
a707bc4ae43e,1-1k,115,7,44,30,2,2,
a708721c1799,1-1k,1,2,0,0,0,0,
a77b17b49353,1-1k,4,19,10,2,0,3,
a82703e6753b,1-1k,9,22,12,52,0,9,
a82f28add927,1-1k,79,2,26,0,2,0,
a83179196eb7,1k-10k,87,7,19,85,10,2,B_method_blind_retry
a8f3dcd247bf,1-1k,63,19,10,4,2,9,
a91498d14058,100k+,55,236,129,36,0,97,B_method_blind_retry
aa0548ad2717,1-1k,2,13,2,0,0,6,
aa91c8133f12,1-1k,84,72,7,2,0,5,
aad27173b998,1-1k,9,9,0,0,0,2,
ab073740d200,1-1k,76,8,2,0,0,0,
ab6e07eedc67,1k-10k,11,49,0,63,0,9,B_method_blind_retry
ac071e8a244f,1-1k,3,3,0,0,0,0,
ac076bab00b9,1-1k,116,392,11,5,0,27,
ac0b3ba3f57d,1k-10k,53,42,12,6,2,7,
ad4e7c086716,1-1k,17,6,11,11,6,2,
ad60f29c171a,1-1k,26,7,1,1,1,2,
ad8d010248fb,1-1k,21,6,5,1,0,0,
adeb8998ae0c,1-1k,6,2,0,0,0,0,
ae26f3516c37,1-1k,3,6,2,0,0,0,
ae53b704fd6e,1-1k,31,11,1,0,0,1,
ae6135b84eb6,1-1k,5,16,9,3,2,3,
ae8abbfd366f,1-1k,26,77,4,4,0,0,
aece1a7a628b,1-1k,10,12,2,0,0,0,
aeecbf918ab4,1-1k,35,21,20,0,6,2,
aef14df72ebf,1k-10k,36,13,1,8,0,3,
af0abc667309,1k-10k,59,50,63,7,0,12,B_method_blind_retry
af337a5f8b96,1k-10k,84,9,39,51,5,3,
af68f16d8e58,1-1k,26,150,33,0,0,64,
b005e01238ab,1k-10k,76,6,21,8,0,1,B_method_blind_retry
b02cd6f016ff,1-1k,328,49,57,19,5,3,
b0642c7c6d12,1k-10k,2,1,1,0,0,0,
b0b08737b209,1-1k,538,0,281,145,4,0,
b0ec2c3398c5,1k-10k,0,0,0,0,0,0,
b158461e8aaf,1-1k,24,4,26,24,13,0,
b174f7c34699,1k-10k,149,57,19,78,0,14,
b18acf1610af,1-1k,5,2,0,0,0,1,
b3ec4aa36337,1-1k,892,626,747,435,34,361,
b42074e80abd,1k-10k,42,26,0,9,0,0,B_method_blind_retry
b4dc23ec6d6e,1k-10k,27,30,5,3,0,13,
b4e975ecb61b,1-1k,130,31,105,84,1,9,
b5499e3fbe17,1-1k,27,104,16,151,0,37,
b555cc6b7396,1k-10k,27,10,1,0,0,2,
